GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033232.16-280126.7,24.79,0.14,9.7,0.17,1.55,0.41,0.38,0.062,4.8,1,1,53.133981,-28.024096
J033232.22-280258.3,24.1,0.14,15.02,0.15,0.6,0.31,0.397,0.067,54.1,1,1,53.134243,-28.049533
J033232.25-280107.2,23.5,0.52,61.28,0.48,8.0,1.14,0.322,0.071,18.7,0,0,53.134386,-28.018669
J033232.28-280327.2,24.67,0.14,14.59,0.15,0.48,0.32,0.301,0.068,86.9,1,0,53.134502,-28.057563
J033232.30-280141.4,24.35,0.22,10.0,0.29,8.0,0.92,0.608,0.047,55.7,0,0,53.13458,-28.02818
J033232.35-280142.2,24.0,0.21,19.99,0.27,3.86,0.88,0.196,0.047,-6.0,1,1,53.134811,-28.028399
J033232.30-280326.8,24.12,0.14,19.09,0.15,0.84,0.31,0.247,0.067,-72.4,1,1,53.134597,-28.057436
J033232.59-280315.5,22.88,0.14,24.54,0.15,0.65,0.32,0.556,0.068,9.9,1,1,53.135793,-28.054297
J033232.53-280334.9,24.65,0.11,11.26,0.14,0.2,0.29,0.227,0.063,-53.9,0,0,53.135524,-28.059701
J033232.55-280302.1,24.81,0.1,6.87,0.13,0.29,0.28,0.343,0.061,41.6,1,0,53.135634,-28.050587
J033232.62-280101.8,25.29,0.1,4.98,0.12,0.98,0.27,0.315,0.06,1.0,1,0,53.135912,-28.017174
J033232.64-280342.1,24.75,0.09,4.34,0.11,1.39,0.31,0.355,0.051,54.4,1,1,53.136007,-28.061692
J033232.63-280256.0,25.19,0.01,0.3,0.11,0.61,0.44,0.142,0.001,23.2,0,0,53.135963,-28.048883
J033232.66-280339.2,25.16,0.15,10.0,0.18,2.03,0.5,0.229,0.058,-89.7,1,0,53.136072,-28.060885
J033232.82-280106.0,24.68,0.11,5.08,0.13,0.97,0.28,0.799,0.062,-60.6,1,1,53.136761,-28.018344
J033232.82-280133.2,24.47,0.15,8.96,0.22,4.03,0.82,0.274,0.038,51.3,1,0,53.13674,-28.025882
J033232.87-280222.5,24.02,0.43,42.14,0.42,8.0,1.1,0.216,0.062,16.9,0,0,53.136957,-28.03958
J033233.03-280121.7,25.25,0.12,6.75,0.14,0.2,0.29,0.418,0.064,77.4,0,0,53.137626,-28.022684
J033233.06-280127.4,23.9,0.14,25.18,0.16,0.83,0.32,0.217,0.069,77.6,1,1,53.137743,-28.024277
J033233.16-280034.9,24.14,0.17,8.23,0.24,6.67,0.84,0.616,0.04,-84.2,1,0,53.138172,-28.009698
J033233.16-280315.0,23.85,0.19,21.39,0.21,1.64,0.48,0.447,0.069,44.2,1,0,53.13816,-28.054166
J033233.38-280231.3,23.92,0.14,12.94,0.18,2.01,0.48,0.368,0.057,-38.1,1,1,53.139097,-28.042026
J033233.35-280135.8,25.29,0.09,2.27,0.1,0.85,0.25,0.807,0.054,65.8,1,0,53.138963,-28.026617
J033233.42-280107.4,24.55,0.06,3.61,0.07,0.2,0.2,0.255,0.04,80.6,0,0,53.13927,-28.018726
J033233.44-280059.7,24.56,0.12,8.02,0.14,0.2,0.29,0.585,0.064,-69.3,0,0,53.139317,-28.016586
J033233.46-280221.5,24.22,0.11,7.54,0.18,4.36,0.79,0.277,0.038,78.8,1,0,53.139403,-28.039293
J033233.52-280129.6,24.74,0.1,6.64,0.13,0.99,0.27,0.375,0.061,-26.4,1,1,53.139676,-28.024898
J033233.64-280208.9,24.5,0.12,8.6,0.14,0.49,0.29,0.467,0.064,51.9,1,1,53.140161,-28.035815
J033233.72-280052.7,25.26,0.08,4.34,0.1,0.2,0.25,0.212,0.053,-7.0,0,0,53.140484,-28.01463
J033233.75-280230.9,25.47,0.05,2.17,0.06,0.48,0.17,0.201,0.032,-14.0,1,0,53.14063,-28.041905
J033233.79-280114.3,25.24,0.07,3.1,0.12,7.93,0.55,0.197,0.032,19.9,1,0,53.140803,-28.020653
J033233.77-280114.1,24.79,0.2,7.62,0.27,4.52,0.89,0.548,0.044,70.6,1,0,53.140724,-28.020581
J033233.83-280333.3,23.94,0.2,16.94,0.27,8.0,0.89,0.254,0.044,-61.6,0,0,53.140968,-28.059246
